iter	Passed	Remaining
0	135	134933
1	136	68054
2	137	45611
3	137	34361
4	138	27636
5	139	23156
6	140	19937
7	141	17526
8	142	15643
9	142	14136
10	143	12919
11	144	11894
12	145	11034
13	146	10288
14	146	9639
15	147	9084
16	148	8596
17	149	8150
18	150	7761
19	151	7403
20	151	7082
21	152	6790
22	153	6525
23	154	6276
24	155	6046
25	155	5831
26	156	5636
27	157	5454
28	157	5285
29	158	5127
30	159	4989
31	160	4851
32	161	4724
33	162	4611
34	163	4503
35	164	4394
36	164	4294
37	165	4196
38	166	4107
39	167	4019
40	168	3935
41	169	3860
42	170	3783
43	170	3709
44	171	3643
45	172	3576
46	173	3515
47	174	3455
48	175	3397
49	176	3344
50	177	3293
51	177	3242
52	178	3193
53	179	3145
54	180	3101
55	181	3055
56	182	3011
57	183	2972
58	183	2932
59	184	2893
60	185	2853
61	186	2815
62	186	2779
63	187	2748
64	188	2713
65	189	2682
66	190	2652
67	190	2616
68	191	2587
69	192	2558
70	193	2530
71	194	2502
72	194	2476
73	195	2447
74	196	2421
75	197	2397
76	198	2373
77	198	2349
78	199	2326
79	200	2305
80	201	2282
81	202	2261
82	202	2239
83	203	2223
84	204	2200
85	205	2182
86	206	2164
87	207	2146
88	209	2139
89	210	2128
90	213	2130
91	214	2115
92	215	2102
93	216	2088
94	217	2074
95	218	2058
96	219	2043
97	220	2026
98	220	2010
99	221	1995
100	222	1980
101	222	1962
102	223	1947
103	224	1933
104	225	1917
105	225	1904
106	226	1890
107	227	1877
108	228	1864
109	228	1850
110	229	1837
111	230	1825
112	231	1813
113	231	1802
114	232	1790
115	233	1777
116	234	1766
117	234	1756
118	235	1744
119	236	1735
120	237	1725
121	238	1715
122	238	1702
123	239	1692
124	240	1681
125	241	1671
126	241	1661
127	242	1650
128	243	1641
129	243	1631
130	244	1622
131	245	1613
132	246	1604
133	246	1595
134	247	1586
135	248	1578
136	249	1570
137	249	1561
138	250	1552
139	251	1544
140	252	1535
141	252	1527
142	253	1519
143	254	1510
144	254	1503
145	255	1495
146	256	1488
147	257	1481
148	258	1474
149	258	1467
150	259	1460
151	260	1453
152	261	1447
153	262	1440
154	263	1433
155	263	1426
156	264	1420
157	265	1415
158	266	1409
159	267	1403
160	268	1397
161	268	1390
162	269	1385
163	270	1379
164	271	1373
165	272	1367
166	272	1361
167	273	1354
168	274	1348
169	275	1343
170	275	1337
171	276	1331
172	277	1326
173	278	1320
174	278	1314
175	279	1309
176	280	1303
177	281	1298
178	282	1293
179	282	1288
180	283	1281
181	283	1276
182	284	1271
183	285	1266
184	286	1260
185	286	1255
186	287	1250
187	288	1246
188	289	1241
189	290	1236
190	290	1231
191	291	1227
192	292	1222
193	293	1218
194	293	1213
195	294	1208
196	295	1204
197	296	1200
198	297	1196
199	298	1193
200	299	1188
201	299	1183
202	300	1179
203	301	1175
204	301	1170
205	302	1167
206	303	1163
207	304	1158
208	305	1154
209	305	1150
210	306	1147
211	307	1143
212	308	1140
213	309	1136
214	310	1134
215	311	1131
216	312	1127
217	313	1124
218	314	1121
219	315	1118
220	316	1115
221	317	1112
222	318	1108
223	319	1105
224	319	1101
225	320	1098
226	321	1095
227	322	1091
228	323	1087
229	324	1085
230	325	1082
231	325	1078
232	326	1075
233	327	1072
234	328	1068
235	329	1066
236	330	1063
237	331	1060
238	332	1057
239	332	1054
240	334	1052
241	335	1052
242	338	1055
243	340	1055
244	342	1055
245	343	1052
246	344	1049
247	346	1049
248	347	1046
249	347	1043
250	348	1041
251	351	1042
252	352	1041
253	353	1038
254	354	1036
255	356	1034
256	357	1032
257	358	1030
258	359	1029
259	360	1026
260	361	1023
261	362	1020
262	363	1019
263	364	1016
264	365	1014
265	366	1012
266	367	1009
267	368	1007
268	369	1005
269	370	1002
270	371	999
271	372	996
272	373	994
273	374	992
274	375	990
275	376	987
276	377	985
277	378	983
278	379	981
279	382	984
280	384	982
281	385	980
282	386	978
283	387	976
284	388	974
285	389	971
286	390	969
287	391	967
288	392	965
289	393	963
290	394	961
291	395	958
292	396	955
293	397	953
294	398	952
295	400	951
296	401	950
297	402	948
298	403	946
299	404	944
300	405	941
301	406	939
302	407	937
303	408	935
304	409	933
305	410	930
306	411	928
307	412	926
308	413	923
309	414	921
310	415	919
311	416	918
312	417	917
313	419	915
314	420	914
315	421	912
316	422	910
317	423	908
318	425	907
319	426	905
320	427	903
321	428	901
322	429	899
323	430	897
324	431	895
325	432	893
326	433	891
327	434	889
328	435	887
329	436	885
330	437	883
331	438	881
332	439	879
333	440	877
334	440	875
335	442	873
336	443	871
337	443	869
338	444	867
339	445	865
340	446	863
341	447	861
342	448	859
343	449	857
344	450	856
345	452	854
346	453	852
347	454	850
348	455	849
349	456	847
350	457	845
351	457	843
352	458	841
353	459	839
354	460	837
355	461	835
356	462	833
357	463	831
358	464	830
359	465	828
