iter	Passed	Remaining
0	127	127476
1	129	64393
2	130	43344
3	131	32824
4	132	26393
5	134	22297
6	136	19318
7	138	17118
8	139	15335
9	141	13988
10	142	12808
11	143	11803
12	144	10948
13	145	10221
14	145	9582
15	147	9040
16	148	8587
17	149	8178
18	150	7784
19	151	7434
20	152	7118
21	153	6832
22	154	6569
23	155	6325
24	156	6097
25	157	5883
26	157	5681
27	158	5493
28	158	5320
29	159	5157
30	160	5003
31	160	4858
32	161	4723
33	161	4596
34	162	4474
35	163	4366
36	164	4268
37	164	4170
38	165	4075
39	166	3987
40	166	3901
41	167	3820
42	168	3741
43	168	3666
44	169	3593
45	169	3523
46	170	3456
47	171	3392
48	171	3330
49	172	3271
50	172	3215
51	173	3161
52	173	3108
53	174	3057
54	175	3007
55	175	2959
56	176	2914
57	176	2870
58	177	2828
59	177	2788
60	178	2752
61	179	2713
62	179	2676
63	180	2640
64	181	2604
65	181	2570
66	182	2537
67	182	2504
68	183	2473
69	183	2442
70	184	2412
71	184	2383
72	185	2355
73	186	2327
74	186	2301
75	187	2275
76	187	2249
77	188	2225
78	188	2201
79	189	2177
80	189	2155
81	190	2132
82	190	2107
83	191	2085
84	191	2066
85	192	2046
86	193	2027
87	193	2009
88	194	1990
89	195	1972
90	195	1954
91	196	1936
92	196	1918
93	197	1901
94	197	1884
95	198	1867
96	198	1851
97	199	1835
98	199	1819
99	200	1804
100	201	1789
101	201	1774
102	202	1760
103	202	1746
104	203	1732
105	203	1719
106	204	1706
107	204	1693
108	205	1680
109	206	1667
110	206	1655
111	207	1643
112	208	1633
113	208	1624
114	209	1612
115	210	1601
116	210	1589
117	211	1577
118	211	1566
119	212	1556
120	212	1545
121	213	1534
122	213	1524
123	214	1513
124	214	1504
125	215	1494
126	215	1483
127	216	1473
128	216	1464
129	217	1455
130	217	1446
131	218	1437
132	219	1428
133	219	1419
134	220	1410
135	220	1402
136	221	1394
137	221	1385
138	222	1378
139	223	1371
140	223	1364
141	224	1355
142	224	1347
143	225	1340
144	226	1332
